182changeratio,28changeratio,364changeratio,91changeratio,bonus,code,cps,debt2asset,eps,epsr,name,netprofit,netprofitdate,netprofitr,per,per_d,roe,symbol,vertical,vprofitdesc
-43.24%,-11.21%,-42.37%,-27.18%,--,000996,--,10.6311,0.02,-58.04,中国中期,710.35,08-30-2018,-37.07,102.847,119.287,1.33,sz000996,汽车及零件制造业,汽车服务业务
73.13%,96.04%,73.74%,80.96%,--,,--,,0.04,-48.38,,950.44,04-29-2014,-48.34,,,1.67,,,
-22.38%,-7.55%,-21.85%,-10.05%,--,,--,,0.04,3.63,,984.92,04-29-2015,3.63,,,1.69,,,
,,,,10派0.3转5,,--,,0.09,108.18,,2049.3,04-19-2016,108.07,,,3.43,,,
,,,,--,,--,,0.09,-1.46,,3029.21,04-28-2017,47.82,,,4.79,,,
-25.91%,-3.88%,-40.78%,-16.74%,--,000997,--,55.8895,0.33,-27.46,新大陆,33733.31,08-30-2018,-21.19,20.154,24.865,6.74,sz000997,undefined,undefined
73.13%,96.04%,73.74%,80.96%,10转8,,--,,0.54,25.58,,27576.29,04-23-2014,25.16,,,15.69,,,
1.32%,0.08%,-19.69%,2.85%,10派0.8,,--,,0.37,-31.48,,33592.49,03-25-2015,21.82,,,17.11,,,
,,,,10派0.6,,--,,0.5,35.14,,46134.73,03-29-2016,37.34,,,18.77,,,
,,,,10派0.800036,,--,,0.69,37.54,,65408.31,04-21-2017,41.78,,,20.61,,,
-34.59%,-16.95%,-36.48%,-20.52%,--,000998,--,52.802,0.13,-32.69,隆平高科,15752.74,08-28-2018,-32.69,25.787,28.419,2.62,sz000998,农业,农业
73.13%,96.04%,73.74%,80.96%,10派0.5,,--,,0.36,-19.24,,36202.11,04-28-2014,94.35,,,20.76,,,
-10.55%,-13.53%,-13.86%,-1.82%,10派2,,--,,0.49,34.84,,49106.7,04-08-2015,35.65,,,23.01,,,
,,,,10派1.5,,--,,0.41,-16.33,,50115.76,04-28-2016,2.05,,,9.49,,,
,,,,10派1,,--,,0.61,48.78,,77177.2,04-28-2017,54,,,13.1,,,
-2.44%,-2.50%,-10.20%,-14.48%,--,000999,--,35.1848,0.84,10.53,华润三九,82650.14,08-23-2018,11.5,18.459,17.328,8.43,sz000999,医药业-未分组,医药行业-其他（补充）
73.13%,96.04%,73.74%,80.96%,10派4.08,,--,,1.06,-12.4,,103588.9,03-19-2014,-12.29,,,15.93,,,
33.41%,1.52%,21.77%,5.64%,10派1.5,,--,,1.28,20.75,,124922.65,03-10-2015,20.59,,,17.33,,,
,,,,10派1.6,,--,,1.22,-4.69,,119784.06,03-09-2016,-4.11,,,14.78,,,
,,,,10派4.6,,--,,1.33,9.02,,130168.72,03-15-2017,8.67,,,14.06,,,
-18.64%,2.42%,-37.20%,-10.72%,--,001696,--,51.4493,0.15,3.21,宗申动力,16915.14,08-30-2018,3.24,19.546,19.175,4.4,sz001696,工程机械行业-服务业-其他,机械制造业-连锁营销服务业-其他
73.13%,96.04%,73.74%,80.96%,10派0.3,,--,,0.33,26.92,,37523.05,04-25-2014,22.25,,,12,,,
11.26%,6.64%,-14.84%,10.28%,10派3.6,,--,,0.33,0.88,,38122.75,04-09-2015,1.6,,,11,,,
,,,,10派0.3,,--,,0.25,-23.64,,29111.76,04-08-2016,-23.64,,,7.98,,,
,,,,10派0.3,,--,,0.24,-6.41,,27240.81,03-15-2017,-6.43,,,7.47,,,
-35.31%,-0.59%,-48.87%,-13.74%,--,001896,--,67.8355,-0.27,519.41,豫能控股,-31213.66,08-31-2018,539.43,72.128,-18.596,-5.04,sz001896,未分组-商贸业,发电企业-燃煤销售
73.13%,96.04%,73.74%,80.96%,--,,--,,0.43,-7.34,,37036.01,03-21-2014,27.15,,,26.67,,,
-11.54%,3.51%,-30.67%,6.55%,--,,--,,0.65,51.2,,55990.83,04-02-2015,51.18,,,15.54,,,
,,,,--,,--,,0.54,-17.89,,45979.41,04-01-2016,-17.88,,,11.2,,,
,,,,--,,--,,0.05,-91.26,,5353.35,04-20-2017,-88.36,,,0.86,,,
-16.34%,0.62%,-34.15%,1.33%,--,001965,--,37.6091,0.33,--,招商公路,201191.13,08-28-2018,17.12,13.589,16.811,4.59,sz001965,未分组,交通科技板块 招商生态板块 投资运营板块 智慧交通板块
73.13%,96.04%,73.74%,80.96%,--,,--,,--,--,,246270.85,12-09-2014,11.34,,,--,,,
14.40%,4.77%,-10.70%,25.17%,--,,--,,--,--,,309753.93,12-09-2015,25.78,,,--,,,
,,,,--,,--,,0.67,--,,293863.5,07-04-2016,-5.13,,,--,,,
,,,,10派2.19,,--,,0.6,-10.19,,336819.5,04-10-2017,14.62,,,8.64,,,
-18.34%,6.37%,-7.55%,-20.20%,--,001979,--,77.1187,0.88,100,招商蛇口,711680.3,08-21-2018,105.31,11.419,8.891,10.12,sz001979,未分组,园区开发与运营 社区开发与运营 邮轮产业建设与运营
73.13%,96.04%,73.74%,80.96%,--,,--,,0.58,13.73,,320457.65,03-06-2014,15.01,,,20.73,,,
11.67%,10.76%,25.37%,-1.43%,10派2.6,,--,,0.88,52.05,,485033.18,03-29-2015,51.36,,,27.96,,,
,,,,10派5,,--,,1.21,37.45,,958141.68,03-28-2016,97.54,,,19.04,,,
,,,,10派6.2,,--,,1.55,27.87,,1222030.82,03-27-2017,27.54,,,20.32,,,
-31.81%,-8.21%,8.41%,-20.51%,--,002001,--,22.947,0.96,77.78,新和成,205854.44,08-23-2018,251.32,9.185,6.085,13.87,sz002001,化工行业-其他,医药化工-其他
73.13%,96.04%,73.74%,80.96%,10派3.5,,--,,0.74,-39.34,,80804.04,04-14-2014,-8.4,,,11.95,,,
-6.75%,-4.42%,47.01%,-1.81%,10派2,,--,,0.37,-50,,40206.78,04-19-2015,-50.24,,,5.74,,,
,,,,10派6,,--,,1.1,197.3,,120263.35,03-28-2016,199.11,,,15.92,,,
,,,,10派7转7,,--,,1.57,42.73,,170441.34,04-25-2017,41.72,,,19.87,,,
-55.89%,-13.31%,-62.02%,-52.97%,--,002002,--,56.6487,0.16,-22.33,鸿达兴业,41975.09,08-27-2018,-16.87,7.192,8.235,7.4,sz002002,化工行业-未分组-商贸业-环保行业,化工行业-综合服务 新材料行业-商贸-环保行业
73.13%,96.04%,73.74%,80.96%,10派2.04161,,--,,0.41,-30.31,,34705.31,04-28-2014,17.39,,,13.08,,,
-39.68%,-9.74%,-48.50%,-41.91%,10派2.02749送5.06872转10.1374,,--,,0.57,40.77,,51908.51,04-26-2015,49.57,,,15.28,,,
,,,,10派1,,--,,0.34,-40.96,,81780.24,04-25-2016,57.55,,,23.62,,,
,,,,10派1.1,,--,,0.41,20.46,,100488.29,03-31-2017,22.88,,,21.93,,,
-14.56%,1.36%,-8.60%,-15.63%,--,002003,--,27.3328,0.24,-14.29,伟星股份,18074.11,08-18-2018,10.79,11.825,12.621,7.3,sz002003,服装行业-其他,服装辅料业务-其他(补充)
73.13%,96.04%,73.74%,80.96%,10派6转2,,--,,0.7,-13.58,,23600.4,04-07-2014,12.78,,,13.59,,,
16.84%,5.54%,23.94%,4.22%,10派5,,--,,0.61,-12.86,,24758.18,03-12-2015,4.91,,,13.76,,,
,,,,10派5转3,,--,,0.7,14.75,,29547.54,04-20-2016,19.34,,,14.52,,,
,,,,10派5转3,,--,,0.63,-10,,36455.9,04-14-2017,23.38,,,15.99,,,
-25.19%,-2.20%,-35.80%,-14.04%,--,002004,--,52.3634,0.15,-6.25,华邦健康,30998.52,08-30-2018,-7.43,19.6,20.64,3.22,sz002004,化工行业-医药业-旅游业-未分组,农药化工-医药行业-旅游服务业-其他（补充）
73.13%,96.04%,73.74%,80.96%,10派3转15,,--,,0.67,26.42,,42918.36,04-10-2014,41.9,,,8.64,,,
2.30%,1.83%,-12.94%,6.18%,10派2,,--,,0.34,-49.25,,63662.54,04-22-2015,48.33,,,9.01,,,
,,,,10派1.5,,--,,0.28,-17.65,,56686.83,04-14-2016,-10.96,,,5.9,,,
,,,,10派2,,--,,0.25,-10.71,,50790.56,04-28-2017,-10.4,,,5.35,,,
-29.82%,-1.29%,-35.85%,-29.82%,--,002005,--,47.7125,0.01,-123.7,德豪润达,2010.63,08-30-2018,-129.94,-4.592,-6.053,0.32,sz002005,电子行业-家电行业-未分组,LED行业-小家电行业-其他（补充）
73.13%,96.04%,73.74%,80.96%,10派0.3,,--,,0.01,43.42,,1395.1,04-29-2014,58.07,,,0.29,,,
-4.03%,2.78%,-13.01%,-13.31%,--,,--,,0.01,30.28,,1986.21,04-26-2015,42.37,,,0.36,,,
,,,,--,,--,,0.02,59.86,,3171.99,04-28-2016,59.7,,,0.57,,,
,,,,--,,--,,-0.67,-3035.68,,-97139.73,04-27-2017,-3162.42,,,-18.69,,,
-11.99%,-12.14%,-27.45%,-2.05%,--,002006,--,44.0124,0.07,16.67,精功科技,3147.56,08-11-2018,13.98,26,25.276,3.03,sz002006,工程机械行业,专用设备制造业
73.13%,96.04%,73.74%,80.96%,--,,--,,0.03,-106.82,,1259.47,02-11-2014,-106.36,,,1.5,,,
20.35%,-8.52%,-1.62%,20.99%,--,,--,,0.03,0,,1586.32,02-27-2015,25.95,,,1.85,,,
,,,,10派0.2,,--,,0.14,366.67,,6285.68,04-15-2016,296.24,,,7,,,
,,,,10派0.2,,--,,0.22,57.14,,9914.48,04-20-2017,57.73,,,10.16,,,
23.29%,8.19%,21.26%,2.72%,--,002007,--,7.7558,0.49,5.05,华兰生物,45290.6,08-27-2018,5.05,38.006,37.024,9.26,sz002007,未分组,疫苗制品 血液制品
73.13%,96.04%,73.74%,80.96%,10派6,,--,,0.93,12.55,,53841.74,03-28-2014,13.27,,,16.66,,,
68.59%,12.65%,64.43%,26.88%,10派4送6,,--,,1.01,9.37,,58911.89,03-30-2015,9.42,,,16.72,,,
,,,,10派4,,--,,0.84,-17.21,,78031.25,03-28-2016,32.45,,,19.85,,,
,,,,10派3,,--,,0.88,5.18,,82082.35,03-27-2017,5.19,,,18.48,,,
-30.40%,-5.39%,3.27%,-29.15%,--,002008,--,51.28,0.95,10.47,大族激光,101859.79,08-21-2018,11.43,25.776,24.248,12.96,sz002008,工程机械行业-未分组,其他专用设备制造业-其他信息技术业
73.13%,96.04%,73.74%,80.96%,10派2,,--,,0.67,26.42,,70753.3,04-21-2014,28.93,,,18.47,,,
-4.82%,-1.49%,40.04%,-12.48%,10派2,,--,,0.71,5.97,,74695.15,04-19-2015,5.57,,,16.99,,,
,,,,10派2,,--,,0.71,0,,75426.21,04-25-2016,0.98,,,15.05,,,
,,,,10派2,,--,,1.56,119.72,,166504.39,04-17-2017,120.75,,,27.6,,,
-46.46%,-15.99%,-39.88%,-31.90%,--,002009,--,57.6437,0.31,121.43,天奇股份,11572.1,08-21-2018,122.27,38.609,22.167,5.67,sz002009,未分组-物流、运输业-电力行业,循环行业 其他（补充）-物流自动化装备行业-风电零部件行业
73.13%,96.04%,73.74%,80.96%,10派0.5,,--,,0.3,100,,9568.16,04-15-2014,123.89,,,6.93,,,
-26.79%,-12.53%,-18.47%,-15.88%,10派0.5,,--,,0.27,-10,,9864.65,04-19-2015,3.1,,,5.92,,,
,,,,10派0.5,,--,,0.28,3.7,,10394.01,04-15-2016,5.37,,,5.77,,,
,,,,10派0.5,,--,,0.23,-17.86,,8476.64,04-03-2017,-18.45,,,4.34,,,
-43.34%,-12.64%,-39.89%,-28.55%,--,002010,--,53.3766,0.08,33.33,传化智联,27143.46,08-21-2018,43.3,64.643,53.455,2.35,sz002010,物流、运输业-化工行业,物流-化工
73.13%,96.04%,73.74%,80.96%,10派1.5,,--,,0.44,25.71,,21233.97,03-31-2014,22.97,,,11.7,,,
-22.52%,-9.04%,-18.49%,-11.74%,10派1,,--,,0.2,-54.55,,55062.91,03-29-2015,159.32,,,18.28,,,
,,,,10派1,,--,,0.18,-10,,58098.54,04-18-2016,5.51,,,5.29,,,
,,,,10派0.5,,--,,0.14,-22.22,,46940.81,04-17-2017,-19.2,,,4.16,,,
undefined,undefined,undefined,undefined,--,002011,--,65.3745,0.06,-14.29,盾安环境,5484.99,08-21-2018,-16.67,64,72.153,1.24,sz002011,工程机械行业-未分组,通用设备制造业-节能产业 其他（补充）
73.13%,96.04%,73.74%,80.96%,--,,--,,0.15,-40,,12622.05,03-24-2014,-40.46,,,3.67,,,
NaN%,NaN%,NaN%,NaN%,--,,--,,0.1,-33.33,,8213.07,03-22-2015,-34.93,,,2.28,,,
,,,,10派1,,--,,0.09,-10,,8301.31,03-24-2016,1.07,,,1.93,,,
,,,,--,,--,,0.1,11.11,,9228.73,03-23-2017,11.17,,,2.09,,,
-26.48%,2.40%,-49.28%,-14.47%,--,002012,--,24.9125,0.02,-60,凯恩股份,1026.44,08-14-2018,-53,85.286,146.683,0.84,sz002012,造纸业-其他,造纸-其他
73.13%,96.04%,73.74%,80.96%,--,,--,,0.09,200,,4060.5,03-31-2014,178.97,,,3.56,,,
0.54%,6.62%,-31.22%,5.65%,--,,--,,0.04,-55.56,,1930.02,03-29-2015,-52.47,,,1.65,,,
,,,,10派0.2,,--,,0.02,-50,,868.91,03-28-2016,-54.98,,,0.73,,,
,,,,--,,--,,0.07,250,,3061.46,03-07-2017,252.33,,,2.55,,,
16.97%,13.09%,14.26%,4.45%,--,002013,--,58.6581,0.08,14.29,中航机电,28928.07,08-31-2018,60.5,34.208,37.886,3.29,sz002013,未分组-汽车及零件制造业-商贸业,其他制造业 飞机制造业-汽车制造业-贸易及其他
73.13%,96.04%,73.74%,80.96%,10派0.6转3,,--,,0.53,-8.62,,38191.21,04-20-2014,-8.76,,,8.48,,,
59.95%,17.75%,54.94%,29.02%,10派0.5转5,,--,,0.53,0,,48920.64,04-08-2015,28.09,,,9.93,,,
,,,,10派0.35转5,,--,,0.37,-30.19,,58314.09,03-14-2016,19.2,,,7.92,,,
,,,,10派0.25转5,,--,,0.24,-35.14,,57900.84,03-06-2017,-0.71,,,7.37,,,
-25.20%,-0.68%,-27.92%,-17.93%,--,002014,--,22.011,0.18,-28,永新股份,9137.79,07-31-2018,9.69,9.607,9.968,5.43,sz002014,化工行业-未分组,涂料、油墨、颜料及类似产品制造-其他（补充）
73.13%,96.04%,73.74%,80.96%,10派3,,--,,0.47,-12.96,,15449.11,02-10-2014,-12.36,,,10.45,,,
2.29%,3.42%,-2.26%,1.38%,10派4,,--,,0.55,17.02,,17853.9,02-04-2015,15.57,,,11.54,,,
,,,,10派5,,--,,0.6,9.09,,20271.06,02-17-2016,13.54,,,12.31,,,
,,,,10派4.5转5,,--,,0.61,1.67,,20548.32,03-08-2017,1.37,,,12.16,,,
-12.40%,12.53%,-36.98%,-1.30%,--,002015,--,5.9497,0,-104,霞客环保,56.98,08-24-2018,-105.72,278.947,117.778,0.18,sz002015,未分组,其他（补充） 其他纤维品制造业
73.13%,96.04%,73.74%,80.96%,--,,--,,-4.32,196.5,,-103684.33,04-30-2014,196.61,,,--,,,
19.79%,17.17%,-14.54%,21.92%,--,,--,,0.27,-106.25,,10888.2,02-05-2015,-110.5,,,--,,,
,,,,--,,--,,-0.1,-138.15,,-4124.19,04-12-2016,-137.88,,,-13.31,,,
,,,,--,,--,,0.02,-118.45,,747.97,04-20-2017,-118.14,,,2.55,,,
-30.24%,-17.64%,11.93%,-39.47%,--,002016,--,64.9296,0.55,-4005.71,世荣兆业,44240.24,08-30-2018,-4003.96,8.357,5.583,17.68,sz002016,房地产行业-未分组,房地产业-其他（补充）
73.13%,96.04%,73.74%,80.96%,10派1,,--,,0.02,-97.35,,1470.07,03-17-2014,-97.35,,,0.93,,,
-4.61%,-14.24%,51.78%,-25.23%,--,,--,,0.08,258.33,,6387.93,03-30-2015,334.53,,,3.82,,,
,,,,10派3.8,,--,,0.12,41.62,,9363.08,04-28-2016,46.57,,,5.37,,,
,,,,10派7.2,,--,,1.13,875.28,,91298.16,03-31-2017,875.09,,,44.17,,,
-22.23%,0.68%,-46.87%,-13.15%,--,002017,--,42.3466,0.06,-9.33,东信和平,2120.81,08-04-2018,-9.29,53.455,57.254,2.23,sz002017,未细分制造业,制造业
73.13%,96.04%,73.74%,80.96%,10派0.5转2,,--,,0.2,-0.75,,5756.38,04-18-2014,30.9,,,7.83,,,
6.35%,4.83%,-27.95%,7.28%,10派0.3,,--,,0.19,-7.16,,6431.77,04-16-2015,11.73,,,8.17,,,
,,,,10派0.3,,--,,0.24,29.38,,8171.16,04-26-2016,27.04,,,9.53,,,
,,,,10派0.3,,--,,0.11,-54.17,,3772.82,03-30-2017,-53.83,,,4.08,,,
-75.19%,6.50%,-83.25%,-20.61%,--,002018,--,35.4046,-0.3,-372.73,*ST华信,-68040.52,08-31-2018,-383.98,6.55,-6.313,-21.38,sz002018,其他能源行业-商贸业-金融业-化工行业,能源-液化气销售及运输收入-金融-化工
73.13%,96.04%,73.74%,80.96%,10派0.1,,--,,0.09,80,,10668.57,03-10-2014,142.28,,,4.03,,,
-66.07%,10.89%,-77.29%,-1.93%,10派0.3转9,,--,,0.13,44.44,,15813.19,03-01-2015,48.22,,,5.3,,,
,,,,10派0.17,,--,,0.16,23.08,,36803.93,03-18-2016,132.74,,,12.03,,,
,,,,--,,--,,0.2,25,,44745.28,04-27-2017,21.58,,,13.3,,,
-47.82%,-14.73%,-44.50%,-37.38%,10派3,002019,--,21.12,0.45,2.27,亿帆医药,53964.26,08-30-2018,12.2,9.965,10.142,8.1,sz002019,医药业-未分组,医药-原料药 高分子
73.13%,96.04%,73.74%,80.96%,--,,--,,0.87,648.71,,23790.92,01-31-2014,829,,,34.35,,,
-28.65%,-11.21%,-24.74%,-22.65%,10派1转15,,--,,0.82,-5.75,,36057.35,03-31-2015,51.56,,,13.29,,,
,,,,10派1,,--,,0.64,-21.95,,70476.27,03-31-2016,95.46,,,22.02,,,
,,,,10派1,,--,,1.15,79.69,,130510.35,03-31-2017,85.18,,,27.87,,,
-0.51%,-0.55%,-3.24%,-17.85%,--,002020,--,21.4158,0.29,9.02,京新药业,21307.11,08-17-2018,25.34,27.335,25.625,5.55,sz002020,医药业-未分组,成品药业务-原料药业务
73.13%,96.04%,73.74%,80.96%,10派1.5,,--,,0.4,55.69,,10708.04,04-21-2014,66.41,,,9.68,,,
36.05%,3.55%,31.21%,1.47%,10派1.5转10,,--,,0.58,46.1,,16604.44,03-15-2015,55.07,,,11.34,,,
,,,,10派1.00185,,--,,0.33,-42.76,,21194.63,04-18-2016,27.64,,,9.24,,,
,,,,10派2,,--,,0.39,18.67,,26437.69,04-24-2017,24.74,,,9.17,,,
-29.50%,6.02%,-56.62%,-26.56%,--,002021,--,42.5476,0.04,-166.67,中捷资源,2758.43,08-24-2018,-162.99,-20.143,-88.959,2.9,sz002021,未细分工业,工业
73.13%,96.04%,73.74%,80.96%,--,,--,,0.01,-92.86,,301.56,03-24-2014,-92.88,,,0.31,,,
-3.59%,10.39%,-41.17%,-9.28%,--,,--,,-0.62,-12500,,-42802.83,03-08-2015,-14293.67,,,-35.2,,,
,,,,--,,--,,0.02,-103.23,,1555.54,04-28-2016,-103.63,,,1.52,,,
,,,,--,,--,,-0.14,-800,,-9320.8,04-26-2017,-699.2,,,-9.48,,,
-16.35%,1.47%,-38.29%,-15.24%,--,002022,--,19.3482,0.27,8.4,科华生物,13701.75,08-25-2018,8.5,25.918,24.747,6.65,sz002022,未分组,生物制品业
73.13%,96.04%,73.74%,80.96%,10派2,,--,,0.59,1.26,,29197.39,04-30-2014,1.26,,,24.74,,,
14.39%,5.65%,-16.32%,4.70%,10派1.2,,--,,0.42,-29.79,,21062.49,04-20-2015,-27.86,,,13.89,,,
,,,,10派1.35,,--,,0.45,8.89,,23240.05,04-20-2016,10.34,,,13.2,,,
,,,,10派0.65,,--,,0.42,-6.31,,21775.99,04-19-2017,-6.3,,,11.33,,,
20.97%,-9.30%,8.15%,-10.48%,--,002023,--,38.4671,0.04,33.33,海特高新,3192.38,08-28-2018,38.33,220.4,192.995,0.91,sz002023,undefined,undefined
73.13%,96.04%,73.74%,80.96%,10派1转10,,--,,0.47,20.51,,15796.68,03-25-2014,24.31,,,9.85,,,
65.42%,-5.56%,46.66%,10.58%,--,,--,,0.06,-87.23,,3965.32,03-29-2015,-74.9,,,1.92,,,
,,,,10派1,,--,,0.05,-16.67,,4076.84,04-18-2016,2.81,,,1.23,,,
,,,,--,,--,,0.05,0,,3436.89,03-27-2017,-15.7,,,0.95,,,
-6.91%,6.26%,7.00%,-17.84%,--,002024,--,52.0735,0.65,2055.33,苏宁易购,600310.7,08-31-2018,1959.41,27.933,11.792,7.57,sz002024,商贸业-未分组,零售业-服务及其他 其他（补充）
73.13%,96.04%,73.74%,80.96%,10派0.5,,--,,0.12,140,,86691.5,03-31-2014,133.19,,,3.01,,,
27.30%,10.64%,45.10%,1.49%,10派0.6,,--,,0.12,0,,87250.4,03-31-2015,0.64,,,2.87,,,
,,,,10派0.7,,--,,0.08,-33.33,,70441.4,03-31-2016,-19.27,,,1.41,,,
,,,,10派1,,--,,0.45,462.5,,421251.6,03-31-2017,498.02,,,5.76,,,
17.70%,13.68%,26.91%,22.24%,--,002025,--,33.6438,0.37,5.71,航天电器,15701.47,08-21-2018,5.43,36.89,36.162,6.41,sz002025,电子行业-未分组,电子元器件行业-其他（补充）
73.13%,96.04%,73.74%,80.96%,10派2送3,,--,,0.62,16.98,,20340.86,04-21-2014,15.8,,,11.92,,,
60.95%,18.37%,72.10%,51.00%,10派1.8,,--,,0.54,-12.9,,23331.29,04-12-2015,14.7,,,12.49,,,
,,,,10派2.5,,--,,0.61,12.96,,26106.72,04-11-2016,11.9,,,12.71,,,
,,,,10派2.5,,--,,0.73,19.67,,31139.22,04-10-2017,19.28,,,13.81,,,
-26.42%,0.00%,-44.05%,-17.15%,--,002026,--,21.5659,0.19,0,山东威达,8110.56,08-28-2018,4.29,17.8,17.405,3.4,sz002026,未分组,其他（补充） 机械及配件制造业
73.13%,96.04%,73.74%,80.96%,10派0.5,,--,,0.34,69.07,,9900.76,02-28-2014,115.78,,,8.65,,,
0.62%,4.12%,-24.13%,2.34%,10派0.6,,--,,0.23,-32.35,,8003.18,04-26-2015,-19.17,,,4.97,,,
,,,,10派0.6,,--,,0.26,13.04,,10397.6,04-25-2016,29.92,,,5.25,,,
,,,,10派0.6,,--,,0.3,15.38,,12554.82,04-24-2017,20.75,,,5.47,,,
-36.33%,-15.33%,-4.30%,-24.93%,--,002027,--,27.3724,0.23,-20.69,分众传媒,334696,08-29-2018,32.14,15.673,14.537,28.24,sz002027,IT业-未分组-电信行业-房地产行业-商贸业,互联网-交通-通讯-房产家居-商业及服务
73.13%,96.04%,73.74%,80.96%,--,,--,,0.02,-104.88,,659.13,04-16-2014,-105.33,,,1.34,,,
-12.93%,-11.84%,29.77%,-7.27%,10派2.5转10,,--,,7.55,37650,,338914.2,04-22-2015,51318.56,,,73.2,,,
,,,,10派4.08转4,,--,,0.52,-93.11,,445121.17,04-28-2016,31.34,,,70.73,,,
,,,,10派1转2,,--,,0.49,-5.77,,600470.68,04-25-2017,34.9,,,67.65,,,
-20.14%,-12.45%,-17.59%,-25.30%,--,002028,--,33.5846,0.18,-5.26,思源电气,13464.69,08-22-2018,-7.1,39,40.948,3.04,sz002028,未分组,输配电设备行业
73.13%,96.04%,73.74%,80.96%,10派1,,--,,0.74,-6.33,,45628.85,03-21-2014,31.59,,,13.15,,,
9.21%,-8.84%,11.75%,-7.73%,10派2转2,,--,,0.61,-17.57,,38211.58,03-26-2015,-16.26,,,10.2,,,
,,,,10派1,,--,,0.49,-19.18,,35142.51,03-25-2016,-8.03,,,8.7,,,
,,,,10派1,,--,,0.33,-33.06,,24919.12,03-24-2017,-29.09,,,5.82,,,
-26.46%,1.65%,-29.28%,-22.45%,--,002029,--,31.1,0.18,12.5,七匹狼,13480.4,08-22-2018,10.49,16.119,15.531,2.45,sz002029,服装行业-其他,服装-其他
73.13%,96.04%,73.74%,80.96%,10派1,,--,,0.38,-24,,28870.71,04-03-2014,-23.84,,,6.17,,,
0.56%,5.84%,-4.10%,-4.21%,10派1,,--,,0.36,-5.26,,27303.08,04-02-2015,-5.43,,,5.57,,,
,,,,10派1,,--,,0.35,-2.78,,26719.16,04-01-2016,-2.14,,,5.24,,,
,,,,10派1,,--,,0.42,20,,31657.92,04-04-2017,18.48,,,5.96,,,
34.69%,4.68%,-10.33%,15.48%,--,002030,--,39.9756,0.07,-12.5,达安基因,5955.37,08-25-2018,2.49,149.167,152.6,3.49,sz002030,未分组,其他（补充） 金融服务 生物制品业
73.13%,96.04%,73.74%,80.96%,10派0.5送2,,--,,0.28,-3.45,,15305.55,03-28-2014,14.84,,,19.68,,,
84.18%,9.00%,21.60%,42.65%,10派0.25送1,,--,,0.15,-46.43,,10123.73,03-31-2015,-33.86,,,10.09,,,
,,,,10派0.45,,--,,0.15,0,,10668.55,03-31-2016,5.38,,,7.71,,,
,,,,10派0.25送1,,--,,0.12,-20,,8644.78,03-31-2017,-18.97,,,5.29,,,
-25.85%,-1.88%,-34.04%,-11.77%,--,002031,--,49.6563,0.01,5.22,巨轮智能,3094.26,08-29-2018,5.21,72.069,70.37,1.02,sz002031,汽车及零件制造业-未分组-工程机械行业,汽车轮胎装备行业-现代服务行业-智能装备制造行业
73.13%,96.04%,73.74%,80.96%,10派0.5转3,,--,,0.32,-13.73,,15447.28,03-25-2014,-7.87,,,8.06,,,
1.40%,2.17%,-10.55%,8.99%,10派1送4转16,,--,,0.18,-45.25,,12933.61,04-16-2015,-16.27,,,4.41,,,
,,,,10派0.05,,--,,0.01,-91.89,,3154.66,04-07-2016,-75.61,,,1.06,,,
,,,,10派0.01,,--,,0.03,102.8,,6370.18,04-10-2017,101.93,,,2.14,,,
12.85%,0.65%,34.27%,-12.13%,10派4.6,002032,--,38.3117,0.9,24.18,苏泊尔,73941.62,08-30-2018,23.86,30.181,27.484,13.21,sz002032,其他电器行业-未分组,电器行业-炊具行业 其他（补充）
73.13%,96.04%,73.74%,80.96%,10派4.3,,--,,1.09,17.37,,68989.23,03-26-2014,17.23,,,19.63,,,
54.32%,4.80%,82.08%,8.54%,10派5.6,,--,,1.42,30.15,,88900.48,03-25-2015,28.86,,,21.9,,,
,,,,10派7.7送3,,--,,1.71,20.9,,107751.92,03-30-2016,21.21,,,22.79,,,
,,,,10派7.2,,--,,1.6,-6.48,,130760.66,03-31-2017,21.35,,,26.87,,,
-16.88%,-0.98%,-32.89%,-10.38%,--,002033,--,9.2809,0.22,18.97,丽江旅游,11889.14,08-10-2018,18.97,19.053,17.434,4.99,sz002033,旅游业-其他,旅游业-其他业务
73.13%,96.04%,73.74%,80.96%,10派1.2转5,,--,,0.66,-5.48,,18106.65,03-24-2014,22.5,,,10.3,,,
13.66%,3.10%,-9.00%,10.70%,10派1,,--,,0.47,-28.81,,19725.03,03-15-2015,8.94,,,9.96,,,
,,,,10派1转3,,--,,0.53,13.38,,22382.36,03-03-2016,13.47,,,10.45,,,
,,,,10派1.5,,--,,0.37,-29.82,,20421.22,04-24-2017,-8.76,,,9.1,,,
-47.87%,-15.80%,-50.62%,-36.13%,--,002034,--,37.063,0.3,500,旺能环境,12400.82,08-22-2018,2015.83,11.623,32.411,3.66,sz002034,环保行业,生态保护和环境治理行业
73.13%,96.04%,73.74%,80.96%,--,,--,,-0.2,-143.48,,-1649.77,04-09-2014,-142.97,,,-3.48,,,
-28.71%,-12.33%,-33.04%,-21.11%,--,,--,,0.47,-335,,3923.55,04-09-2015,-337.82,,,8.58,,,
,,,,--,,--,,0.2,-57.45,,2019.79,03-15-2016,-48.52,,,2.76,,,
,,,,10派2.5转7,,--,,1.22,510,,23481.66,04-27-2017,1062.58,,,9.26,,,
